名称,URL,语言,分类,类型,是否有RSS,备注
Recraft,https://www.recraft.ai/blog,en,creative,AI创意工具,否,需爬取
Fal.ai Blog,https://blog.fal.ai,en,creative,AI创意工具,否,需爬取
即梦,https://jimeng.jianying.com,zh,creative,AI创意工具,否,需爬取
HeyGen Blog,https://www.heygen.com/blog,en,creative,AI创意工具,否,需爬取
ElevenLabs Blog,https://elevenlabs.io/blog,en,creative,AI创意工具,否,需爬取
Pika Blog,https://pika.art/blog,en,creative,AI创意工具,否,需爬取
Ideogram Blog,https://ideogram.ai/blog,en,creative,AI创意工具,否,需爬取
Suno Blog,https://suno.com/blog,en,creative,AI创意工具,否,需爬取
Meshy Blog,https://www.meshy.ai/blog,en,creative,AI创意工具,否,需爬取
Character.AI Blog,https://blog.character.ai,en,social,AI社交娱乐,否,需爬取
Replika Blog,https://replika.com/blog,en,social,AI社交娱乐,否,需爬取
DeepSeek Blog,https://www.deepseek.com/news,zh,model,中文AI公司,否,需爬取
阶跃星辰,https://www.stepfun.com/news,zh,model,中文AI公司,否,需爬取
智谱AI Blog,https://www.zhipuai.cn/news,zh,model,中文AI公司,否,需爬取
MiniMax Blog,https://www.minimaxi.com/news,zh,model,中文AI公司,否,需爬取
Moonshot Kimi,https://www.moonshot.cn/news,zh,model,中文AI公司,否,需爬取
Founder Park,https://founderpark.net,zh,opinion,创业社区,否,需爬取
